actor_id,bacon_number,intermediary
1922,3,3823
1923,5,3862
1924,5,2726
1925,4,1004
1926,3,3560
1927,4,1268
1928,2,1946
1929,3,469
1930,3,4071
1931,3,2236
1932,3,4071
1933,4,854
1934,4,2857
1935,3,850
1936,3,50
1937,3,1572
1938,3,53
1939,,
1940,2,83
1941,3,4296
1942,4,1874
1943,,
1944,5,1359
1945,3,3426
1946,1,2720
1947,4,2934
1948,3,4523
1949,4,854
1950,3,402
1951,3,1238
1952,5,4607
1953,4,3185
1954,3,1454
1955,4,4685
1956,4,2007
1957,3,1572
1958,3,3717
1959,4,2173
1960,8,4416
1961,2,4659
1962,,
1963,3,4176
1964,4,2395
1965,3,1753
1966,5,183
1967,4,1152
1968,4,3952
1969,4,4947
1970,4,1587
1971,4,1719
1972,3,2816
1973,3,3891
1974,,
1975,2,1092
1976,3,1715
1977,,
1978,5,1280
1979,,
1980,4,619
1981,3,294
1982,5,4658
1983,,
1984,,
1985,3,3959
1986,3,934
1987,3,50
1988,5,1843
1989,,
1990,4,1268
1991,3,4874
1992,4,1306
1993,4,2987
1994,2,891
1995,3,648
1996,4,2769
1997,5,4929
1998,3,4199
1999,2,2724
2000,,
2001,2,1946
2002,3,1856
2003,3,267
2004,6,3937
2005,3,2670
2006,3,2436
2007,3,3293
2008,5,2544
2009,4,3350
2010,3,2796
